"","ego","alter","weight","relation"
"1",1,25,2,"Personal"
"2",1,42,2,"Personal"
"3",2,8,3,"Personal"
"4",2,10,3,"Personal"
"5",2,37,2,"Personal"
"6",3,11,2,"Personal"
"7",3,20,1,"Personal"
"8",3,44,2,"Personal"
"9",4,9,1,"Personal"
"10",4,28,2,"Personal"
"11",4,37,2,"Personal"
"12",4,64,2,"Personal"
"13",5,17,1,"Personal"
"14",5,61,2,"Personal"
"15",5,65,1,"Personal"
"16",6,22,1,"Personal"
"17",7,55,2,"Personal"
"18",7,65,2,"Personal"
"19",10,2,3,"Personal"
"20",10,16,3,"Personal"
"21",10,37,2,"Personal"
"22",10,52,3,"Personal"
"23",11,3,3,"Personal"
"24",11,20,3,"Personal"
"25",11,22,1,"Personal"
"26",11,27,2,"Personal"
"27",11,38,2,"Personal"
"28",12,27,3,"Personal"
"29",12,29,3,"Personal"
"30",13,60,2,"Personal"
"31",14,27,2,"Personal"
"32",14,33,3,"Personal"
"33",14,63,3,"Personal"
"34",14,70,2,"Personal"
"35",15,6,3,"Personal"
"36",15,58,3,"Personal"
"37",15,62,2,"Personal"
"38",16,10,3,"Personal"
"39",16,21,1,"Personal"
"40",16,25,2,"Personal"
"41",16,52,3,"Personal"
"42",17,5,1,"Personal"
"43",17,39,2,"Personal"
"44",17,65,1,"Personal"
"45",18,53,2,"Personal"
"46",18,60,1,"Personal"
"47",19,5,1,"Personal"
"48",19,8,3,"Personal"
"49",20,11,3,"Personal"
"50",20,55,2,"Personal"
"51",21,16,2,"Personal"
"52",21,33,2,"Personal"
"53",21,58,3,"Personal"
"54",21,63,2,"Personal"
"55",22,6,3,"Personal"
"56",22,11,3,"Personal"
"57",22,38,3,"Personal"
"58",23,58,3,"Personal"
"59",24,4,2,"Personal"
"60",24,9,1,"Personal"
"61",24,28,1,"Personal"
"62",25,10,3,"Personal"
"63",25,16,2,"Personal"
"64",25,29,3,"Personal"
"65",25,52,3,"Personal"
"66",26,6,3,"Personal"
"67",27,11,2,"Personal"
"68",27,12,2,"Personal"
"69",27,14,2,"Personal"
"70",28,4,2,"Personal"
"71",28,9,1,"Personal"
"72",28,37,2,"Personal"
"73",28,64,2,"Personal"
"74",29,6,2,"Personal"
"75",29,12,2,"Personal"
"76",29,25,2,"Personal"
"77",29,60,1,"Personal"
"78",30,2,1,"Personal"
"79",30,41,1,"Personal"
"80",30,49,2,"Personal"
"81",32,13,2,"Personal"
"82",32,39,1,"Personal"
"83",32,44,2,"Personal"
"84",32,60,1,"Personal"
"85",33,14,2,"Personal"
"86",33,63,3,"Personal"
"87",33,70,2,"Personal"
"88",34,3,3,"Personal"
"89",34,45,3,"Personal"
"90",36,10,2,"Personal"
"91",36,12,2,"Personal"
"92",36,16,2,"Personal"
"93",36,27,2,"Personal"
"94",37,2,3,"Personal"
"95",37,4,2,"Personal"
"96",37,10,3,"Personal"
"97",37,28,2,"Personal"
"98",38,11,3,"Personal"
"99",38,22,1,"Personal"
"100",40,13,2,"Personal"
"101",40,47,3,"Personal"
"102",41,2,3,"Personal"
"103",41,4,2,"Personal"
"104",41,10,3,"Personal"
"105",42,1,3,"Personal"
"106",43,9,3,"Personal"
"107",43,15,2,"Personal"
"108",43,18,2,"Personal"
"109",43,46,1,"Personal"
"110",43,64,2,"Personal"
"111",44,45,3,"Personal"
"112",45,15,2,"Personal"
"113",45,24,1,"Personal"
"114",45,34,2,"Personal"
"115",45,58,3,"Personal"
"116",46,9,2,"Personal"
"117",46,43,2,"Personal"
"118",46,45,3,"Personal"
"119",46,64,2,"Personal"
"120",47,40,3,"Personal"
"121",48,1,3,"Personal"
"122",48,54,3,"Personal"
"123",49,4,2,"Personal"
"124",49,41,1,"Personal"
"125",50,1,3,"Personal"
"126",50,62,2,"Personal"
"127",51,6,3,"Personal"
"128",51,14,2,"Personal"
"129",51,15,2,"Personal"
"130",51,29,3,"Personal"
"131",51,62,1,"Personal"
"132",52,10,3,"Personal"
"133",52,16,3,"Personal"
"134",53,60,3,"Personal"
"135",56,59,3,"Personal"
"136",56,60,1,"Personal"
"137",56,63,3,"Personal"
"138",56,68,3,"Personal"
"139",57,60,3,"Personal"
"140",57,70,1,"Personal"
"141",58,15,2,"Personal"
"142",58,45,3,"Personal"
"143",59,33,2,"Personal"
"144",59,56,3,"Personal"
